uid,stance,set,distilbert-base-uncased_because,distilbert-base-uncased_since,distilbert-base-uncased_as,distilbert-base-uncased_for,distilbert-base-uncased_given,distilbert-base-uncased_with,distilbert-base-uncased_so,bert-base-uncased_because,bert-base-uncased_as,bert-base-uncased_since,bert-base-uncased_for,bert-base-uncased_with,bert-base-uncased_given,bert-base-uncased_so,bert-large-uncased_because,bert-large-uncased_as,bert-large-uncased_since,bert-large-uncased_for,bert-large-uncased_with,bert-large-uncased_given,bert-large-uncased_so,roberta-base_because,roberta-base_as,roberta-base_since,roberta-base_for,roberta-base_given,roberta-base_with,roberta-base_so,xlm-roberta-base_because,xlm-roberta-base_since,xlm-roberta-base_as,xlm-roberta-base_for,xlm-roberta-base_with,xlm-roberta-base_given,xlm-roberta-base_so,roberta-large_because,roberta-large_as,roberta-large_since,roberta-large_given,roberta-large_for,roberta-large_with,roberta-large_so,xlm-roberta-large_because,xlm-roberta-large_since,xlm-roberta-large_as,xlm-roberta-large_for,xlm-roberta-large_with,xlm-roberta-large_given,xlm-roberta-large_so
10,0,test,0.1881415694952011,0.0756199061870575,0.0750847533345222,0.0019777386914938,0.0020667565986514,0.000155215820996,8.533058280590922e-05,0.0759463906288147,0.0402456820011138,0.0121367247775197,0.0002716074232012,1.8428476323606446e-05,7.73964129621163e-05,7.165491751948139e-06,0.0477541051805019,0.0381468534469604,0.0147271594032645,0.0001292250526603,7.962159725138918e-05,3.439833380980417e-05,4.22364246333018e-05,5.2203875384293497e-05,5.264229912427254e-06,6.76329273119336e-06,6.84464751543601e-08,2.395848071046203e-07,8.124992234570527e-09,3.563467180356383e-05,0.259682685136795,0.1225325912237167,6.327523351501441e-06,2.8178743605167256e-07,1.5293539945560044e-07,1.933947402221748e-08,4.900798012386076e-05,0.0001021616117213,3.476948040770367e-05,1.2964581401320174e-05,7.139508397813188e-07,6.58935022102014e-08,2.2227702345389844e-08,2.862210749299265e-06,0.6340118050575256,0.122091956436634,4.17289265897125e-06,1.4778380830193782e-07,2.0725738636429014e-07,1.289489315325909e-08,0.0001066750701284
11,0,test,0.3388816118240356,0.0331679694354534,0.0417379029095172,0.001830281689763,0.0001135238271672,6.012989251757972e-05,0.0006943916669115,0.2140693366527557,0.039585743099451,0.0164892394095659,0.0007770639494992,3.945731077692472e-05,2.8248960006749257e-05,6.543810286530061e-06,0.6264329552650452,0.1491013765335083,0.1018264889717102,0.0005836967611685,5.713857171940617e-05,4.2694453441072255e-05,6.473124085459858e-05,5.623252582154237e-05,1.6572529375480372e-06,7.451726560248062e-06,5.1204125384174404e-08,7.774542609695345e-08,3.517504953975958e-09,8.281390364572871e-06,0.4184915125370025,0.0722897797822952,1.66181107488228e-05,2.812763284509856e-07,3.967008410654671e-08,7.224927323079555e-09,2.242878053948516e-06,0.0001454511220799,6.167530500533758e-06,8.080945008259732e-06,1.342816773330924e-07,6.034452582071026e-08,4.199150804851115e-09,4.756656380777713e-06,0.7934696078300476,0.0809677839279174,3.800714694079943e-06,2.000460028739326e-07,3.5898438000003814e-08,6.146326558820192e-09,4.735710535896942e-05
12,0,test,0.0642884746193885,0.0249380804598331,0.0557655356824398,0.0003272967878729,0.0001411162520525,0.0001814672432374,0.0005842093960382,0.0322128869593143,0.0579235069453716,0.0117821134626865,0.0001678533153608,5.141018118592911e-05,2.8661212127190083e-05,0.000155114888912,0.2430161237716674,0.1285929828882217,0.0690434724092483,0.0002026870206464,5.102448631078005e-05,6.514745473396033e-05,0.0013769544893875,7.219415419967845e-05,9.06333571037976e-06,9.472269084653815e-06,6.20841689169538e-08,1.801488593855538e-07,5.506826550316646e-09,1.7226780983037315e-05,0.2707360982894897,0.1195158436894416,2.0835126633755863e-05,6.598889967790456e-07,3.2491888646291045e-07,2.5948889259552743e-08,0.0001006342718028,4.782984251505695e-05,1.3841707186657004e-05,3.378238943696488e-06,2.1171781838802417e-07,9.256109656519133e-09,4.302011635815006e-09,1.204858335768222e-06,0.6828888058662415,0.1013468205928802,2.298748086104752e-06,9.440121573334181e-08,5.0391893324786e-08,7.351129038823956e-09,2.088750625262037e-05
13,0,test,0.5565107464790344,0.0221911165863275,0.0381180047988891,0.0079054562374949,0.0001253985828952,4.486481338972226e-05,0.0002243620692752,0.195107027888298,0.025019034743309,0.0210730843245983,0.0005556009127758,1.255154529644642e-05,9.79818833002355e-06,7.441338311764412e-06,0.2885182499885559,0.0437816381454467,0.0412045419216156,0.0001559885859023,1.166537458630046e-05,1.659812915022485e-05,3.566583473002538e-05,0.0001003053839667,2.67863924818812e-06,1.1442595678090584e-05,1.03693764685886e-07,6.283895004344231e-08,6.987460832164061e-09,0.0002204981137765,0.3315232098102569,0.0547121055424213,2.1817217202624303e-05,6.408321837625408e-07,4.917703932960649e-08,3.792981573269572e-08,3.792647476075217e-05,0.0002905583532992,2.551093348301947e-05,2.644341475388501e-05,3.891462654337374e-07,3.000386072926631e-07,2.3648595970371392e-08,1.5942421669024043e-05,0.7227518558502197,0.1235633864998817,1.6103803091027658e-06,1.2360072787487297e-07,4.5942314841340703e-08,2.733468118520932e-09,0.0001399531174683
14,0,test,0.3255989253520965,0.0386100225150585,0.0287057515233755,0.0005623414763249,9.408039477420972e-05,1.146876184066059e-05,0.0002026049769483,0.3487806022167206,0.0653420984745025,0.0252650547772645,0.0001897436886793,8.394892574870028e-06,3.405893221497536e-05,0.0001681315188761,0.2405848950147628,0.0299691688269376,0.0245945286005735,6.610833224840462e-05,9.48950219026301e-06,2.995372415171005e-05,0.0002721658092923,0.0001462802465539,7.402726623695344e-06,1.725621405057609e-05,1.1459072624120381e-07,5.317457976161677e-07,1.184149778232779e-09,0.0001106678246287,0.4013804793357849,0.2304178029298782,3.606436439440586e-05,6.408641297639406e-07,4.096829542277192e-08,4.430421896017833e-08,3.700856905197725e-05,0.0003231805749237,4.0748614992480725e-05,4.706769686890766e-05,1.5135543662836426e-06,2.112500681050733e-07,9.294435443507613e-09,1.3228417628852183e-05,0.6383370757102966,0.084657222032547,9.013896487886086e-06,4.193528297946614e-07,3.415536866668845e-07,1.4142148785367681e-08,4.808128869626671e-05
15,0,test,0.2193138748407364,0.0144049106165766,0.0098125655204057,9.393194341100752e-05,4.292240919312462e-05,2.1673231458407827e-05,0.0002800070506054,0.0209927819669246,0.0063096657395362,0.0027702557854354,4.729792271973565e-05,1.002889621304348e-05,3.8857097024447285e-06,3.122454654658213e-05,0.3377767205238342,0.1146462261676788,0.1637564599514007,0.0002783031086437,5.450870230561122e-05,0.0001219608529936,0.0002735865709837,0.0001071228107321,2.0091169062652625e-05,1.043276733980747e-05,2.301431401008358e-08,3.5898622741115105e-07,3.315153485061728e-09,1.7487789591541514e-05,0.3425284624099731,0.3429991602897644,3.2637999538565055e-05,1.013634118862683e-06,8.043934940360487e-07,2.3043787322762916e-08,5.113130464451388e-05,0.0001673455990385,1.831044937716797e-05,1.9254370272392407e-05,4.351068412233872e-07,1.5028632560643018e-07,8.981228205584557e-09,1.0532173291721849e-05,0.694231390953064,0.157284528017044,2.238547494926024e-06,1.656637351743484e-07,9.888799468171785e-08,1.3152249955794561e-08,3.262366590206511e-05
16,1,test,0.0666738152503967,0.0061349673196673,0.0161709580570459,0.0023553904611617,8.069797331700101e-05,0.0005263649509288,7.642497803317383e-05,0.0012579552130773,0.0018631120910868,0.0002705939405132,0.000236833555391,2.7981748644378968e-05,9.813627457333496e-07,1.7283527995459735e-05,0.0132354451343417,0.010954481549561,0.004269441589713,6.197840411914513e-05,6.131156260380521e-05,3.912122792826267e-06,4.7369470848934725e-05,8.657547368784435e-06,2.277445128129329e-05,6.643984988841112e-07,1.9604764034397704e-08,1.7620713776977932e-09,9.399995448688972e-09,2.406315161351813e-06,0.0419640764594078,0.0262096058577299,0.0001039503185893,3.233609731978504e-06,1.9393214643059764e-06,8.508505544568835e-08,2.8449436285882257e-05,2.5207751605194065e-05,5.1204671763116494e-05,1.9756216715904884e-06,2.5364844447040014e-08,2.492973294465628e-07,5.539980207913686e-08,1.912929519676254e-06,0.3778268992900848,0.1883768886327743,1.7805352399591357e-05,9.1703020643763e-07,7.235374823721941e-07,4.409736220623017e-08,1.3821942957292777e-05
17,1,test,0.3179130554199219,0.0378770753741264,0.0167347248643636,0.0026938943192362,0.0006007440970279,0.000212188650039,0.0001051869039656,0.0049484600313007,0.0016095008468255,0.0003903461329173,2.9298500521690585e-05,4.923033884551842e-06,2.261831923533464e-06,5.785996108897962e-06,0.0221932306885719,0.0189819708466529,0.0050809457898139,6.540821050293744e-05,6.408996705431491e-05,1.4368058145919347e-05,6.049756848369725e-05,3.077457222389057e-05,3.281949466327205e-05,1.507387651145109e-06,1.5106292039490654e-07,8.345303115220305e-08,3.756647615205112e-08,1.4028143596078737e-05,0.2347864210605621,0.0516127347946167,0.0002152275555999,9.830439012148418e-06,5.216229055804433e-06,9.41061841785995e-08,7.004004874033853e-05,8.176840492524207e-05,4.256662214174867e-05,1.2677775885094889e-05,3.6080336940358393e-07,4.869589247391559e-07,7.747219399334426e-08,4.720551714854082e-06,0.4075658619403839,0.0516983121633529,0.0008376328623853,6.677703640889376e-05,5.954699372523464e-05,1.0782146091514733e-06,1.6926998796407133e-05
18,1,test,0.2492912858724594,0.0212723650038242,0.0261714477092027,0.0010482650250196,4.6769175241934136e-05,1.711931145109702e-05,0.0012211946304887,0.607575535774231,0.2011689394712448,0.0432217270135879,0.0004270465287845,1.4064145943848416e-05,7.173473022703547e-06,8.295373118016869e-05,0.766716480255127,0.1390679776668548,0.0466393195092678,0.0002513343060854,7.66702760301996e-06,2.049472095677629e-05,0.0008142166770994,4.211364284856245e-05,7.254139291035244e-06,5.493479875440244e-06,8.084315084033734e-08,7.830313109025155e-08,8.916617444398867e-10,0.0002508903271518,0.4570374488830566,0.0380172692239284,5.679802416125312e-05,1.6308567865053192e-06,2.9045644112102312e-08,3.182114127753266e-09,5.31095611222554e-06,0.000189166443306,2.218659756181296e-05,1.696581966825761e-05,1.1800158006280981e-07,7.576469585046652e-08,3.984118812638826e-09,4.065645043738186e-06,0.6401305198669434,0.0811905935406684,9.894523827824742e-06,1.30558007072068e-07,5.083456500187823e-08,4.717469082038406e-09,6.641358595516067e-06
19,0,test,0.8766533136367798,0.0078295283019542,0.0116933984681963,0.0003534252173267,0.0003258548968005,3.221651422791183e-05,0.0009682700037956,0.6548385620117188,0.0754764378070831,0.0248687248677015,0.0002885548747144,1.2583645911945496e-05,4.8710822738939896e-05,0.0001193303905893,0.5752264857292175,0.2221437990665435,0.0717487409710884,0.0011413355823606,2.7848913305206224e-05,4.974069452146068e-05,0.0001738676364766,6.097664663684554e-05,1.959045584953856e-05,7.2370517045783345e-06,3.853386232322009e-08,2.4783909680081706e-07,6.557491438741181e-09,2.1967454813420773e-05,0.5128955245018005,0.1680275946855545,3.70609704987146e-05,5.951376351731597e-07,6.685900189040694e-08,8.438524545795191e-09,3.1650924938730896e-05,0.0002073453797493,2.42882324528182e-05,2.749383929767646e-05,6.469237519013404e-07,9.291598956906456e-08,3.362972122999963e-09,4.36383288615616e-06,0.6740977764129639,0.122618168592453,4.0203926801041234e-06,1.8035116511327945e-07,6.799501761634019e-08,1.5228970084990582e-08,1.954173058038577e-05
20,1,test,0.0667466446757316,0.0028820745646953,0.0066573563963174,0.0001305933110415,1.0241333256999496e-05,6.656686309725046e-06,1.4859725524729583e-05,0.0716377943754196,0.0060958764515817,0.0019063625950366,4.67411991849076e-05,3.348510745126987e-06,6.782228183510597e-07,3.899482635461027e-06,0.1057121604681015,0.0228109844028949,0.0045551406219601,5.591644730884582e-05,6.337894774333108e-06,2.734583176788874e-06,4.139188604312949e-06,9.331694309366868e-05,1.2187206266389694e-05,5.617414444714086e-06,1.6650072609536437e-07,4.024843391903232e-08,6.564535581787823e-10,2.244400639028754e-05,0.3963834643363952,0.0376974046230316,8.539058035239577e-05,6.668661285402777e-07,2.8871998125623577e-08,3.705497020334292e-09,4.513734438660322e-06,0.0002081904240185,1.1486489711387549e-05,7.107028068276122e-06,6.666579821512644e-08,5.093886201734678e-08,1.3260035292006474e-09,2.5138303954008734e-06,0.6783024668693542,0.1073107495903968,9.158470675174613e-06,2.42580796339098e-07,5.7777118200874624e-08,2.482090977196094e-09,2.518261226214236e-06
21,1,test,0.2351491451263427,0.0084370914846658,0.0174596812576055,0.0068221795372664,0.0008419677033089,0.0004241582064423,0.0001598981616552,0.0628814399242401,0.0224140342324972,0.0048822215758264,0.0001852814457379,1.93407522601774e-05,1.412730216543423e-05,1.295230322284624e-05,0.0502441637217998,0.0611966401338577,0.0074714473448693,0.0001354408159386,2.8784976166207343e-05,1.501334372733254e-05,0.0002383388782618,2.501725975889713e-05,3.1226070859702304e-05,2.400593302809284e-06,6.279985598212079e-08,3.247542395001801e-07,2.6806830089043387e-09,5.015687747800257e-06,0.2092449069023132,0.0404104553163051,2.6393528969492763e-05,7.047656822578574e-07,3.8247350175879546e-07,5.622242671421418e-09,3.674578329082578e-05,0.0001001646523945,2.4358636437682435e-05,7.62041236157529e-06,1.8112419297722226e-07,3.333454401399649e-08,2.640672125409082e-09,3.261429810663685e-06,0.384439617395401,0.0571318231523036,1.3742458577326032e-05,1.1090828166970824e-07,1.1309489167388165e-07,1.1122131660101786e-08,4.666287622967502e-06
22,1,test,0.3288941383361816,0.0201258994638919,0.0151195088401436,0.0038640603888779,0.001358178909868,0.0004865210794378,3.4113250876544043e-05,0.0013891300186514,0.0009011663496494,0.0001640070986468,3.880578151438385e-05,1.5298030120902695e-05,9.77844865701627e-06,8.041723049245775e-06,0.028482861816883,0.0315768495202064,0.0046994076110422,0.0001807751395972,0.000130163738504,1.6217076336033642e-05,0.0002677151060197,1.49220113598858e-06,1.3383889836404703e-06,9.86556969451158e-08,8.800712159029445e-09,5.762947008491892e-09,2.9960798286765566e-09,7.00864038662985e-05,0.0225186478346586,0.0023910049349069,2.966764623124618e-05,3.5675026310855174e-07,9.40686561534676e-07,1.1569836644298448e-08,4.063079541083425e-05,7.836480108380783e-06,3.330399295009556e-06,4.27620051368649e-07,6.411136155293208e-08,8.716936505948071e-09,2.1203137023917407e-09,2.605752115414361e-06,0.016985785216093,0.003982244990766,3.035602640011348e-05,2.422778607069631e-06,2.2925721623323625e-06,8.876357071585519e-08,5.135258470545523e-05
23,0,test,0.556483268737793,0.0795826166868209,0.0959363877773284,0.0003679908404592,0.0009626264800317,2.492114617780317e-05,0.0001986443239729,0.2778699398040771,0.2861930429935455,0.0732893496751785,0.0010913193691521,2.9376269594649784e-05,0.0001323973556281,0.000321104977047,0.3769482672214508,0.2132440656423568,0.085366666316986,0.0008813496679067,5.831855378346518e-05,0.0001577546208864,0.0014015837805345,6.099184611230157e-05,9.926940037985332e-06,1.023663571686484e-05,4.0491521247076896e-08,1.2190232610009843e-06,1.4161517514210682e-09,4.297352006688016e-06,0.3182088732719421,0.1022994369268417,2.101527752529364e-05,6.098993026171229e-07,3.289305183784563e-08,4.4608913896126985e-08,6.840314745204523e-05,7.512288721045479e-05,2.4381946786888875e-05,5.636947207676712e-06,7.190507176346728e-07,4.723478852497465e-08,2.826720857385112e-09,5.372696705308044e-06,0.6814095377922058,0.0698124691843986,4.305165930418298e-06,8.353202929356487e-08,5.419941118134376e-08,1.4476647436367784e-08,1.9221415641368367e-05
24,0,test,0.0627696439623832,0.0118658524006605,0.0133791053667664,0.0018204251537099,0.0001535152696305,4.743867248180322e-05,0.0016814651899039,0.1739656329154968,0.0454077534377574,0.0092082414776086,0.0078439824283123,0.0004670674388762,0.0001629194448469,0.000121044286061,0.6508619785308838,0.1061945781111717,0.0274414587765932,0.0005099517875351,1.1973105756624136e-05,1.4261478099797388e-05,7.240899867611006e-05,6.935116107342765e-05,8.32165915198857e-06,7.201190783234779e-06,9.26784124999358e-08,1.0716837550717173e-07,1.2484153710801134e-09,2.6835286917048502e-06,0.5085558295249939,0.125961422920227,3.094593921559863e-05,6.455563834606437e-07,7.013488811935531e-08,1.0909332992525831e-08,5.734910882893018e-05,0.0002446837315801,6.991664849920198e-05,3.7713893107138574e-05,3.526707814671681e-07,1.120943693422305e-06,1.02036894489288e-08,3.893306711688638e-06,0.6486243605613708,0.087297223508358,2.246889198431745e-05,8.281777468255314e-07,2.215666654592497e-07,1.5388502916380276e-08,5.284708549879724e-06
