uid,stance,set,distilbert-base-uncased_but,distilbert-base-uncased_while,distilbert-base-uncased_although,distilbert-base-uncased_though,distilbert-base-uncased_yet,distilbert-base-uncased_still,bert-base-uncased_but,bert-base-uncased_while,bert-base-uncased_although,bert-base-uncased_though,bert-base-uncased_yet,bert-base-uncased_still,bert-large-uncased_but,bert-large-uncased_while,bert-large-uncased_although,bert-large-uncased_though,bert-large-uncased_yet,bert-large-uncased_still,roberta-base_but,roberta-base_although,roberta-base_though,roberta-base_while,roberta-base_yet,roberta-base_still,xlm-roberta-base_although,xlm-roberta-base_while,xlm-roberta-base_but,xlm-roberta-base_though,xlm-roberta-base_still,xlm-roberta-base_yet,roberta-large_while,roberta-large_but,roberta-large_although,roberta-large_though,roberta-large_yet,roberta-large_still,xlm-roberta-large_although,xlm-roberta-large_while,xlm-roberta-large_but,xlm-roberta-large_though,xlm-roberta-large_yet,xlm-roberta-large_still
10,0,test,0.0176818259060382,0.0024760619271546,0.0094506498426198,0.0034610172733664,0.0001825521176215,6.457133139292638e-08,0.0028901724144816,0.0005324188969098,0.0006448845961131,0.0001955855113919,5.571419023908675e-06,5.0430482900765134e-08,0.003246430074796,0.000936624710448,0.0013791302917525,0.0003109096141997,4.990804427507101e-06,1.5043883649923373e-07,1.0298759889337816e-06,3.13592209977287e-07,5.9509087435571935e-08,1.671393050628467e-07,1.2712588613794653e-05,2.0135807972110342e-06,0.0044637261889874,7.582072612422053e-06,5.678406523657031e-06,3.187096353940433e-06,4.464027085759881e-07,8.193581493287638e-07,2.802333256113343e-06,3.9365932025248185e-05,4.468885890673846e-05,2.632590076245833e-05,4.053568773088045e-06,2.520625628221751e-07,0.0042837690562009,4.614621047949186e-06,3.3898340916493908e-06,1.7578043980392977e-06,3.384373485459946e-06,9.71286567619245e-07
11,0,test,0.0051008537411689,0.0565604716539382,0.0020734516438096,0.0016549990978091,0.0001271502114832,1.666272964939708e-06,0.0041014989838004,0.0014673786936327,0.0003194038872607,0.0001433375291526,1.3141149111106645e-06,7.163949078403675e-08,0.001065116142854,0.0006056522252038,0.0002309646515641,9.032667730934918e-05,1.427126449016214e-06,6.584237155493612e-08,1.9631438590295147e-06,1.1827941648334675e-07,4.864071456722741e-08,6.261048923761336e-08,1.4943886981200194e-06,1.7776979888139977e-08,0.0007848709938116,2.455499952702666e-06,7.220195925583539e-07,4.8624667670083e-07,1.496753583296595e-07,4.64186115323173e-07,1.3844703516952e-07,2.843806328201026e-07,7.133197499342715e-08,1.0019590490628617e-07,4.565277151868941e-07,1.2957611872366216e-08,0.000156128196977,4.931789021611621e-07,2.483191394730966e-07,1.3622555172787545e-07,1.8391145317764312e-07,1.1149390388709437e-07
12,0,test,0.1331875920295715,0.0047442014329135,0.0599823892116546,0.0140035850927233,0.00028140906943,1.2975466745501762e-07,0.0319994427263736,0.0009843657026067,0.0050980658270418,0.001555549679324,9.733446495374665e-05,2.156118341645197e-07,0.0069154608063399,0.0014442827086895,0.0062758442945778,0.0009718692745082,4.634581637219526e-05,9.261973445973126e-07,9.065587801160292e-05,2.110826608259231e-05,5.228465397522086e-06,1.789991301848204e-06,3.16290206683334e-05,1.4230832334760637e-07,0.0060315178707242,7.221718078653794e-06,1.6709975170670077e-05,4.2939327613567e-06,5.787869099549425e-07,2.1041678337496705e-06,1.3428226566247758e-06,8.721704944036901e-05,6.708267028443515e-05,3.1814543035579845e-05,8.781038559391163e-06,1.577334387548035e-07,0.011143553070724,2.204326619903441e-06,7.72826695083495e-07,1.6936396605160553e-06,5.127380973135587e-06,1.3492355321886862e-07
13,0,test,0.003528855741024,0.0138148693367838,0.0010075871832668,0.0010355570120736,6.112904520705342e-05,1.333952184268128e-07,0.0026815691962838,0.0010100302752107,0.0001918250345624,6.558313179994002e-05,8.022402084861824e-07,3.7552918996652807e-08,0.0006608374533243,0.0009104032651521,0.0001121518071158,2.851016870408785e-05,1.5236712442856517e-06,6.017179288164698e-08,1.9596539004851365e-06,3.810638986578853e-07,1.6565570604143437e-07,8.753873430578096e-07,1.6127323760883885e-06,1.666639235509138e-07,0.0015704180113971,1.2170656191301532e-05,5.508853973879013e-06,2.326854428247316e-06,2.3857575115471263e-07,3.997434419034107e-07,4.37220478488598e-06,2.380574642302236e-06,1.19172477752727e-06,1.158748773377738e-06,4.950216521137918e-07,1.988959894561049e-07,0.0001527211134089,5.898393169445626e-07,2.1134151495516562e-07,1.2705712038041386e-07,8.628174441582814e-07,8.906949489073669e-08
14,0,test,0.0020679892040789,0.0188689902424812,0.0013451561098918,0.0009145102812908,1.916032306326088e-05,4.2555086565698736e-08,0.0004515340551733,0.0007190537289716,0.0002126020699506,6.269619916565716e-05,1.657694883760996e-05,1.43337487656936e-07,0.0001750865776557,0.0009564695646986,0.0002875080099329,3.643760283011943e-05,2.2881695258547552e-05,3.924874647509569e-07,1.2894544170194422e-06,4.891800244877231e-07,1.0578935416560853e-07,1.192449190057232e-06,2.3101312763174064e-05,5.688460760211456e-07,0.000788172299508,9.297067663283087e-06,6.945249424461508e-06,1.0850435501197353e-06,5.127474196342519e-07,2.813721096117661e-07,1.0394251148682088e-05,3.393367660464719e-05,9.22373783396324e-06,7.233832093334058e-06,1.3302093975653406e-05,5.23780613548297e-07,0.0020412032026797,6.949475391593296e-06,2.9791765427944483e-06,3.9411711441061925e-06,6.536776254506549e-06,1.3335244375412003e-06
15,0,test,0.0045544933527708,0.0041616153903305,0.0016540380893275,0.0005624061450362,6.389891495928168e-05,3.9380815053391416e-08,0.000842917303089,0.001239008270204,0.0002942324499599,6.941478932276368e-05,1.002804947347613e-05,1.2152375461482734e-07,0.000966215680819,0.0026833026204258,0.0008539786213077,0.0001987772702705,1.4650648154201916e-05,3.068321063892654e-07,2.153130708393292e-06,1.3775016896033776e-06,2.3816704697310345e-07,1.55903353515896e-06,1.042552958097076e-05,1.2914537705910334e-07,0.0041772238910198,6.591143119294429e-06,5.26346366314101e-06,1.7873092019726755e-06,1.2226041690155398e-06,1.1066691740779788e-06,3.144617039652076e-06,5.995568699290743e-06,3.0348385280376533e-06,1.8235575680591865e-06,6.920853365954827e-07,3.5084532612472685e-08,0.0028725583106279,2.545165216361056e-06,3.744785885828605e-07,1.0233893590338994e-06,3.335195515319356e-07,6.86701326912953e-08
16,1,test,0.0032417410984635,0.0187489073723554,0.0020877663046121,0.0008489244501106,3.869046122417785e-05,7.288728909315979e-08,8.948831964517012e-05,0.0004479644703678,3.739297608262859e-05,1.799554593162611e-05,9.728843224365846e-07,8.029472553516825e-08,0.0004237050889059,0.0014065817231312,0.0005635867128148,0.0001480725477449,7.55976134314551e-06,4.0006887047638884e-07,5.030757165513933e-06,2.893955752369948e-06,1.482392121943121e-06,5.461998853206751e-07,3.026963895536028e-06,1.6969950777934173e-08,0.0008564794552512,5.454359779832885e-05,2.780473914754112e-05,3.832484708254924e-06,5.626438337458239e-07,6.792037652303407e-07,8.177798008546233e-06,3.4221209261886543e-06,5.347092155716382e-07,3.611005467973882e-07,2.112651827701484e-06,3.444665708229877e-08,0.0007559311925433,6.078684236854315e-06,8.458719662485237e-07,6.875316671539622e-07,2.072291209742616e-07,3.4200844822862564e-08
17,1,test,0.0026373879518359,0.0053960960358381,0.0024189469404518,0.0010206105653196,1.055196116794832e-05,6.388805928736474e-08,0.0001918623747769,0.0002176095440518,5.89167648286093e-05,1.351535047433572e-05,1.998397891611603e-07,3.5440088197447046e-08,0.0005211131065152,0.0002760303905233,0.0001325224584434,4.310962322051637e-05,2.6666518806450767e-06,1.9415175245285362e-07,1.125179437622137e-06,2.1127787874775095e-07,7.517096634046538e-08,5.948044545789345e-08,6.007492174830986e-07,5.056471081843483e-07,0.0050924881361424,4.724369864561595e-05,5.616623820969835e-05,2.590756594145205e-05,5.551725621444348e-07,5.968892082819366e-07,1.3043284070590744e-06,1.231521537192748e-06,3.024208012902818e-07,5.373329940994154e-07,1.1843801672739573e-07,1.5671336228706423e-08,0.0013680091360583,6.10848146607168e-05,2.600026709842496e-05,3.172364449710585e-05,3.660730385490752e-08,4.74860897270446e-08
18,1,test,0.0059675760567188,0.0252214800566434,0.0016643850831314,0.0012154527939856,0.0001218925244756,1.523773534017892e-07,0.0031899791210889,0.0008704013307578,0.0002267387026222,8.070173498708755e-05,5.766861704614712e-06,2.610207445741253e-07,0.0002621154708322,0.0002028023882303,0.0001218169782077,3.455825208220631e-05,3.824332088697702e-05,7.431095241372532e-07,1.1683120959560257e-07,1.764735557685526e-08,4.835942313263786e-09,1.2667492832463267e-08,9.37865479500033e-07,5.390883188738371e-07,9.954151755664498e-05,1.5479920421057614e-06,1.91643607649894e-06,1.6717292794510288e-07,1.142866835834866e-06,9.879149729385972e-07,3.5432276490610093e-07,2.596427464141016e-07,1.319464502103074e-07,1.093820287678682e-07,4.080823998720007e-07,6.858770973394712e-08,8.247563528129831e-05,4.318177957429725e-07,8.452578015294422e-08,7.33378868744694e-08,1.4223411426428356e-07,1.6302308836202428e-07
19,0,test,0.0012833955697715,0.0008018866647034,0.0002799613284878,0.00018086975615,7.037734030745924e-05,3.2208157563218265e-07,0.0021134666167199,0.0006455623079091,0.0002556730178184,8.708955283509567e-05,1.1944224752369337e-05,1.9452915012152522e-07,0.0007814108976162,0.0005162574816495,0.000175269349711,5.812925519421697e-05,1.0526327969273552e-05,2.659464257703803e-07,1.5242771951307077e-06,1.4719311991484576e-07,3.902186662685381e-08,1.849474756454584e-06,3.995364750153385e-05,4.795292625203729e-07,0.0001978887012228,1.6319459064106925e-06,1.939788489835337e-06,3.372956314251496e-07,2.91616174763476e-07,6.746686835867877e-07,1.1541023923200555e-06,2.174666860810248e-06,5.709299557565828e-07,7.714066896369332e-07,2.6682698717195308e-06,8.522379602027288e-08,0.0011575369862839,2.951261649286608e-06,2.991351493619732e-06,1.4815384474786697e-06,1.5093587535375264e-06,1.0181162934941312e-07
20,1,test,0.0032854115124791,0.042043138295412,0.0005505188019014,0.0004496643668971,9.130258149525616e-06,8.375826254791718e-09,0.0004033878503832,0.0004383045015856,5.008815423934721e-05,1.1309300134598743e-05,8.424275961260719e-07,1.2680875016712893e-08,3.125958755845204e-05,0.0001256236428162,1.7966096493182704e-05,3.7361285194492666e-06,7.290914254554082e-07,1.697457996385765e-08,5.9566779953001976e-08,1.4321188679389252e-08,2.2586013059822108e-09,3.1826079549546193e-08,3.4269331194991537e-07,3.698732484735956e-07,0.0001673461520113,1.834286763369164e-06,1.3615203897643369e-06,1.462442611455117e-07,9.95834398054285e-07,5.564261300605722e-07,1.269474410037219e-07,5.2681688345046496e-08,4.7192404650786564e-08,2.215739769440006e-08,8.45345482503035e-08,9.192113736844477e-08,8.143697050400078e-05,9.123212976192008e-07,9.410763368578048e-08,5.0674195506417163e-08,1.922041548141351e-08,7.561533266198239e-08
21,1,test,0.003661525202915,0.0032346730586141,0.0016560663934797,0.0005603330209851,3.7147896364331245e-05,4.4670692034287653e-08,0.0006460426957346,0.0004554149345494,0.0002141686854884,6.241532537387684e-05,1.300001372328552e-06,5.169754047074093e-08,0.0002410159358987,0.0001707776682451,0.0001284719764953,2.618236430862453e-05,5.816867542307591e-06,2.35918363955534e-07,2.695716716516472e-07,7.170326909999859e-08,9.723120975024813e-09,2.4141545651446e-08,9.878655760076073e-08,4.135705555796676e-09,0.0043231691233813,6.823404419264989e-06,5.894901278225007e-06,1.0499015843379311e-06,6.230284270714037e-07,3.100209369222285e-07,1.7745975355865085e-07,6.804488350553585e-08,7.031421489500644e-08,3.240077361965632e-08,2.489030848096263e-08,1.617710587709098e-08,0.000219926747377,8.48494039473735e-07,6.378336081525049e-08,8.147628705046372e-08,1.0833882413407993e-07,4.9787449718508014e-09
22,1,test,0.0054632709361612,0.0018049740465357,0.0028924939688295,0.0016228802269324,8.29960572445998e-06,6.799875507113029e-08,0.0001008874896797,3.650308281066828e-05,5.529122063308023e-05,1.150426032836549e-05,3.100882395301596e-07,4.395566932657857e-08,0.000390089204302,0.0001476158504374,0.0001244761951966,3.776802259380929e-05,9.70855853665853e-06,5.905333182454342e-07,1.281395896057802e-07,1.6873688224450234e-08,2.011649291588924e-09,3.444581508915689e-09,5.274555974210671e-07,2.711304887270672e-07,0.0004465534584596,5.0774920055118855e-06,8.480748874717392e-06,1.995905222429428e-06,3.340894636494341e-07,9.460781598136236e-07,9.944051981847225e-08,9.397437139568865e-08,2.562128287308952e-08,3.5420111288431144e-08,2.55423998396509e-07,2.5516483148635416e-08,0.0001467457477701,3.6453277516557137e-06,1.1265849479968892e-06,7.09044456925767e-07,9.244523084817048e-07,1.4965547734391293e-07
23,0,test,0.0174313373863697,0.0019594759214669,0.0074607357382774,0.0026497500948607,4.807151708519086e-05,2.8191882606165564e-08,0.0107941702008247,0.001187102869153,0.0025136289186775,0.0009967882651835,4.971841553924605e-05,1.6901566368687784e-07,0.0114848483353853,0.0021967033389955,0.0050514466129243,0.0016024654032662,8.810352301225066e-05,1.338866240985226e-06,4.5994975153007545e-06,1.8058346995530885e-06,4.082149587247841e-07,1.0472560916241491e-06,6.24623953626724e-06,4.363427308362589e-08,0.0033624651841819,4.280797838873696e-06,1.1600426660152152e-05,2.310603804289713e-06,1.683209944758346e-07,7.451813530678919e-07,1.153127755060268e-06,1.6759559002821334e-05,1.085352687368868e-05,7.299399840121623e-06,1.0221132470178418e-05,3.825640817467502e-07,0.0183867421001195,3.479878841972095e-06,8.15034127299441e-07,3.4660083656490315e-06,3.62523451258312e-06,6.277184638747714e-08
24,0,test,0.002178038470447,0.0243312716484069,0.0008761947974562,0.0008052282501012,0.0001897320471471,2.96117377729388e-07,0.0038235683459788,0.0127623165026307,0.0003066335921175,0.0002292038261657,8.671480827615596e-06,1.2218802680763474e-07,0.0002269458636874,0.0003808001929428,0.0001226204913109,3.14885146508459e-05,2.884613877540687e-06,6.558669696232755e-08,1.339319908311154e-07,2.9316929328615515e-08,9.092897101936614e-09,3.741863565664971e-07,1.8582446728032664e-06,1.5938958597416786e-08,0.0003349963808432,1.8898471125794456e-06,1.0763466207208694e-06,1.4305251738733205e-07,1.9720891941688024e-06,2.2015944978193147e-06,3.055526121897856e-06,2.289697022206383e-06,1.957361519089318e-06,1.1973602340731304e-06,5.330537646841549e-07,4.0836496850715776e-08,0.0006864090682938,1.199076996272197e-05,1.5642960988770938e-06,1.4958939118514536e-06,2.1360053779062582e-06,5.338358732842607e-07
25,0,test,0.0042554261162877,0.0144965061917901,0.0010819293092936,0.000668344029691,5.343694283510558e-05,7.221241560273485e-08,0.0005099533009342,0.0008705414948053,3.5621735150925815e-05,1.2370930562610738e-05,5.762871296610683e-06,1.3519216679469537e-07,0.000101041077869,0.0002521265123505,4.234638254274614e-05,8.09743141871877e-06,7.175091013778001e-06,6.539801944427381e-08,2.02190051368234e-07,6.29412966191012e-08,1.89806623751565e-08,7.15431056619309e-08,1.3693425898964051e-05,4.850029995395744e-07,0.0002617043501231,1.3120366929797456e-05,1.127991436078446e-05,9.97546749204048e-07,5.577018782787491e-06,2.2206031644600444e-06,7.901005005805928e-07,4.06121489504585e-06,1.1224025229239487e-06,1.561812609907065e-06,5.354828772397013e-06,2.2635389029801445e-07,0.0003766788577195,2.342912921449169e-06,2.4854972480170545e-07,2.720023815072637e-07,6.719386647091596e-07,2.399723143753363e-06
26,0,test,0.0035736819263547,0.0058461930602788,0.0007103872485458,0.0005751298158429,9.672845044406132e-05,2.1286022899857929e-07,0.0025909889955073,0.0011956315720453,0.0003277980722486,0.0001214359217556,5.231807335803751e-06,9.876738005232256e-08,0.0007004700019024,0.0019521401263773,0.0002069399051833,0.0001444407389499,2.4891198336263187e-05,4.627936505130492e-07,7.737073559610509e-08,2.1798582494625407e-08,6.856507805963474e-09,1.2138623617374833e-07,7.917328730400186e-07,1.6611885200745746e-07,0.0007264020969159,2.675647237992962e-06,2.361133283557137e-06,2.276411521506816e-07,6.533051646329113e-07,8.993893061415292e-07,1.5473995063075565e-06,7.542718094555312e-07,3.874978631301929e-07,2.522968998164288e-07,9.45474369018484e-07,6.275981689896072e-08,0.0011198966531082,3.6715882743010297e-06,3.838597137928446e-07,3.058622439766623e-07,3.896124098901055e-07,3.853921839436225e-07
27,0,test,0.0140855442732572,0.0197972320020198,0.0126871857792139,0.0029272059909999,0.0001401549088768,6.731433586537605e-06,0.0022268709726631,0.0095791919156908,0.0035136467777192,0.0006941503379493,2.0610427782230545e-06,9.987711564463098e-07,0.0012200932251289,0.0002018957457039,0.0003793521318584,0.0001115078339353,5.520703325601062e-06,4.976382115273736e-07,7.94434981798986e-06,1.1640394177447888e-06,2.832505856531498e-07,2.466369721787487e-07,2.606888301670552e-06,1.752662342369149e-06,0.0017611829098314,2.596449348857277e-06,2.886004494939698e-06,7.518461302424839e-07,3.653717044471705e-07,2.158859331302665e-07,1.1259870689173113e-06,4.264354174665641e-06,2.5146907773887506e-06,1.6003685914256494e-06,1.0991230738000011e-05,5.364956905395957e-07,0.0013295840471982,1.0898823347815778e-05,3.528503839334008e-06,2.6457028070581146e-06,1.5133233546293925e-06,4.654061285691569e-06
